# gamma_1 = 2.80; gamma_2 = 1.50; gamma_3 = 2.15
# gamma_index type_of_data data
1 nCo 1
1 Gam 2.80
1 Exp 0.9478105873,3.0039926802,9.1392155267,28.8338130928,106.4253777718,586.4836426285
1 Coe -0.0437678342,-0.0952568686,-0.0839155732,-0.0590412757,-0.0387366121,-0.024449333
2 nCo 1
2 Gam 1.50
2 Exp 0.3590317941,1.328886523,4.3826930972,14.2749402043,53.2829144937,294.6280562231
2 Coe -0.1351316829,-0.1989971698,-0.1380049358,-0.0876635533,-0.0554079233,-0.0345704419
3 nCo 1
3 Gam 2.15
3 Exp 0.6250101991,2.1037441519,6.6131893543,21.1462783961,78.4274652277,432.830064756
3 Coe -0.0709867316,-0.1314446832,-0.1045619016,-0.0703240627,-0.0453723153,-0.0284884637
